inputs,label
Black to move. Position is r1bqk1nr/ppp2ppp/2np4/1B6/1b1PP3/5N2/PP3PPP/RNBQ1K1R b kq - 2 7. What is the best move?,pawn on f7 to f5
White to move. Position is rnbqkb1r/pp1n1ppp/8/2ppP3/3P4/2N5/PP3PPP/R1BQKBNR w KQkq - 0 7. What is the best move?,knight on g1 to f3
White to move. Position is rnbqkb1r/pp1p1ppp/4pn2/8/2Pp4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5. What is the best move?,knight on f3 captures pawn on d4
Black to move. Position is r4rk1/pp1bbp2/4pp1p/q7/n2P3P/2N2NR1/PPQ1BPP1/1K1R4 b - - 4 16. What is the best move?,king on g8 to h8
Black to move. Position is 2rk4/5pN1/p2p1Pp1/3Pp1q1/1p6/1P5Q/1PP3Pb/R4K2 b - - 0 27. What is the best move?,queen on g5 captures pawn on f6
White to move. Position is r1b1k1nr/3p1ppp/pqp1p3/2b1P3/8/2N3P1/PPP2P1P/R1BQKB1R w KQkq - 1 9. What is the best move?,queen on d1 to d2
Black to move. Position is r1b1kb1r/p1pp1ppp/1np1q3/4P3/2P5/1P6/P2NQPPP/R1B1KB1R b KQkq - 0 10. What is the best move?,pawn on a7 to a5
Black to move. Position is 8/1r3k2/8/pP1p3p/2nPrPpP/1Q2Bq2/4RP2/4R1K1 b - - 0 44. What is the best move?,pawn on g4 to g3
White to move. Position is r1q1r2k/3n1pp1/1pp1p3/p3P2n/2P1B3/2N2P2/PP2QP1P/R2R2K1 w - - 0 19. What is the best move?,pawn on f3 to f4
Black to move. Position is r5k1/p1n1Qp2/bp6/2p1P3/5P2/8/PP3KPP/8 b - - 2 32. What is the best move?,knight on c7 to e8
Black to move. Position is 4r3/5pk1/7p/8/1p4P1/1P1Rq1P1/1N4BP/1NrR3K b - - 2 38. What is the best move?,rook on c1 captures rook on d1
Black to move. Position is rnbqkbnr/pppp1ppp/8/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2. What is the best move?,knight on b8 to c6
White to move. Position is 1r1qnrk1/p2bppbp/2np2p1/1pp5/4PP2/P1NPB1PP/1PP1N1B1/R2Q1RK1 w - - 1 12. What is the best move?,pawn on f4 to f5
White to move. Position is r1bqr1k1/pppp1ppp/2n2n2/6N1/2P5/2P2pP1/P2PP1BP/R1BQ1RK1 w - - 0 10. What is the best move?,knight on g5 captures pawn on f3
White to move. Position is 4r1k1/p1ppq1pp/1pn1pr2/5p2/P1PP4/2PBP2Q/5PPP/RR4K1 w - - 5 16. What is the best move?,rook on b1 to e1
White to move. Position is r1bqkbnr/1pp3pp/p1np4/4p3/B2Pp3/2P2N2/PP3PPP/RNBQK2R w KQkq - 0 7. What is the best move?,knight on f3 captures pawn on e5
Black to move. Position is 6b1/4k1p1/p2P1p1p/2N2P2/4P1P1/p2R3P/1r2N3/1n2K3 b - - 0 47. What is the best move?,king on e7 to f7
Black to move. Position is r1bqkb1r/2p2ppp/p1pp4/4p3/3Pn3/5N2/PPP1QPPP/RNB2RK1 b kq - 1 8. What is the best move?,pawn on f7 to f5
Black to move. Position is r1b2rk1/1pq2ppp/pn3n2/4p3/1P2P3/2PB1N2/1B2QPPP/R4RK1 b - - 2 15. What is the best move?,bishop on c8 to g4
White to move. Position is rnb1kbnr/pp3ppp/1q2p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR w KQkq - 1 5. What is the best move?,knight on g1 to f3
Black to move. Position is rnbq1rk1/pp3pbp/3p2p1/2pPP3/5Pn1/2N2N2/PP2B1PP/R1BQK2R b KQ - 0 10. What is the best move?,pawn on d6 captures pawn on e5
Black to move. Position is rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2. What is the best move?,knight on b8 to c6
Black to move. Position is rnbqk2r/pp2ppbp/3p1np1/2pP4/2P1P3/2N5/PP2BPPP/R1BQK1NR b KQkq - 2 6. What is the best move?,pawn on e7 to e6
White to move. Position is 6k1/2p5/8/p2PP2Q/2P5/6p1/P4qP1/4K3 w - - 1 44. What is the best move?,king on e1 to d1
Black to move. Position is r3k1nr/ppp2ppp/1b6/nq6/8/B4N2/P4PPP/R2QR1K1 b kq - 1 16. What is the best move?,knight on g8 to e7
Black to move. Position is r3k2r/1p1qnp2/1npbb1p1/p2p3p/P2P1NP1/1P2PPBP/2Q1B1K1/2R2N1R b kq - 1 23. What is the best move?,pawn on h5 captures pawn on g4
White to move. Position is 4r3/p1n4k/1p6/2p5/2P1K1B1/1P6/P6B/8 w - - 1 40. What is the best move?,bishop on h2 to e5
White to move. Position is rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2. What is the best move?,pawn on d2 to d4
Black to move. Position is r5k1/pp2qppp/2np2b1/6N1/2BP2QP/P1P5/5PP1/R5K1 b - - 2 20. What is the best move?,pawn on h7 to h6
Black to move. Position is r4r1k/pp3ppP/4pB2/2PpPn2/6Q1/3P1N2/P4PP1/5K2 b - - 2 20. What is the best move?,king on h8 captures pawn on h7
White to move. Position is r1bqkbnr/pp1p1ppp/2n1p3/8/3pP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 5. What is the best move?,knight on f3 captures pawn on d4
Black to move. Position is rnbr2k1/ppp2pbp/5np1/4p1B1/2P1P3/2N2N2/PP2BPPP/R3K2R b KQ - 1 9. What is the best move?,rook on d8 to e8
Black to move. Position is rnbqkb1r/ppp1pppp/3p4/3nP3/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4. What is the best move?,pawn on d6 captures pawn on e5
Black to move. Position is 4rrbk/pppq2bp/2np2p1/3N1p2/2P5/1P2B1PP/P2QPPBK/2R2R2 b - - 5 17. What is the best move?,pawn on b7 to b6
White to move. Position is 1q2kb1r/1r1n1ppp/2Q1p3/2p5/8/8/1PP2PPP/R1BR2K1 w k - 0 19. What is the best move?,bishop on c1 to f4
White to move. Position is r2qk2r/5ppp/p2pb3/1p2nPbQ/4P3/2N5/PPP4P/1K1R1B1R w kq - 0 17. What is the best move?,pawn on f5 captures bishop on e6
White to move. Position is 4r1k1/1Q3pp1/8/3P1b1p/6q1/8/PPP5/1KR5 w - - 0 29. What is the best move?,pawn on d5 to d6
White to move. Position is rnbqkb1r/pppppp1p/5np1/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3. What is the best move?,knight on b1 to c3
White to move. Position is rnbqkbnr/pp2pppp/8/3p4/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4. What is the best move?,pawn on c2 to c3
Black to move. Position is 1Q4k1/p4bb1/1p3p2/2p3pp/2P5/1P6/q3rNPP/2B2RK1 b - - 1 34. What is the best move?,rook on e2 to e8
Black to move. Position is rnbqkb1r/ppp2ppp/3p4/8/3Pn3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 5. What is the best move?,pawn on d6 to d5
White to move. Position is r4rk1/1bq2pbp/p2p1np1/1p2n3/4PBP1/P1NB1NQ1/1PP4P/R4RK1 w - - 3 16. What is the best move?,knight on f3 captures knight on e5
Black to move. Position is rnbqkb1r/pppppppp/5n2/8/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 2 2. What is the best move?,pawn on d7 to d5
White to move. Position is 3k4/pr3ppp/8/8/4R3/1PbpBP2/P4P1P/3K4 w - - 8 36. What is the best move?,rook on e4 to c4
Black to move. Position is rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2. What is the best move?,knight on b8 to c6
White to move. Position is 5k2/pb5p/1p3PBN/6R1/1p6/1P4P1/P5rP/6K1 w - - 3 39. What is the best move?,king on g1 to f1
Black to move. Position is r3kb1r/1ppbn1pp/p4p2/2p5/4PB2/2N5/PPP1NPPP/R2R2K1 b kq - 4 11. What is the best move?,castling queenside
Black to move. Position is r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3. What is the best move?,pawn on a7 to a6
Black to move. Position is 1kr3r1/pp1b4/q3p3/3PPnn1/2PB1N2/P7/4QPPP/2RR3K b - - 2 27. What is the best move?,bishop on d7 to a4
Black to move. Position is r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1BP2N2/PP1P1PPP/RNBQR1K1 b kq - 0 8. What is the best move?,castling kingside
Black to move. Position is 6k1/2p5/8/p2PP2p/2P3bq/6p1/PP1R2P1/5KQ1 b - - 6 38. What is the best move?,queen on h4 to g5
Black to move. Position is r1b2k2/4rppp/p4n2/2Np4/1P6/3B1P2/P5PP/R3R1K1 b - - 0 20. What is the best move?,knight on f6 to d7
Black to move. Position is r1bq1rk1/1p2bppp/p1nppn2/8/2P1P3/2N3P1/PP3PBP/RNBQ1RK1 b - - 1 10. What is the best move?,rook on a8 to b8
Black to move. Position is rn1qr1k1/p4pbp/bp1p1np1/2pP4/8/P1N2NP1/1PQ1PPBP/R1B1R1K1 b - - 3 12. What is the best move?,pawn on b6 to b5
White to move. Position is r4rk1/p2nqpnp/3p2p1/1ppP4/4PB1P/2P1NP2/P5P1/R3QK1R w - - 0 18. What is the best move?,pawn on h4 to h5
Black to move. Position is rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3. What is the best move?,pawn on c5 captures pawn on d4
White to move. Position is rnbqk2r/pp1p1ppp/4pn2/8/1bPp4/2N2NP1/PP2PP1P/R1BQKB1R w KQkq - 0 6. What is the best move?,knight on f3 captures pawn on d4
Black to move. Position is 2kr1b1r/pb1n1p2/2p1pP2/qp4B1/2pP4/2N1Q3/PP3PPP/1K1R1B1R b - - 6 15. What is the best move?,knight on d7 to b6
White to move. Position is r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 w kq - 0 8. What is the best move?,pawn on c2 to c3
Black to move. Position is 5qk1/pb2nrpp/1p1NQ3/3n4/3P4/1B3P2/PP4PP/2R3K1 b - - 2 22. What is the best move?,pawn on h7 to h6
White to move. Position is rn4k1/p2n1ppp/1p1B4/3p3P/8/P7/1P3P2/R4K1R w - - 0 22. What is the best move?,rook on a1 to c1
White to move. Position is 1r1r4/p4pk1/4p3/2p1P3/2P4N/1PR3P1/8/7K w - - 1 35. What is the best move?,knight on h4 to f3
White to move. Position is r4rk1/ppp1qppp/3p4/1N6/3QP1n1/8/PPP2PPP/R3R1K1 w - - 0 13. What is the best move?,pawn on h2 to h3
Black to move. Position is 8/5k2/8/3P1p2/2bN1p1r/8/4p3/2R3K1 b - - 5 57. What is the best move?,bishop on c4 captures pawn on d5
White to move. Position is rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2. What is the best move?,pawn on c2 to c4
White to move. Position is r2q1rk1/1bp2ppp/pp1bpn2/8/2BP1P2/2N2NP1/PP2QP1P/2RR2K1 w - - 0 14. What is the best move?,bishop on c4 to d3
White to move. Position is r2qr1k1/1bpnbppp/1p2pn2/p7/2PPN3/3B1N2/PP2QPPP/R1BR2K1 w - - 0 12. What is the best move?,knight on e4 to g5
White to move. Position is r4rk1/1b1n1pp1/3P1q1p/2p5/1p2n3/1B3N1P/PP3PP1/RN1QR1K1 w - - 1 20. What is the best move?,knight on b1 to d2
Black to move. Position is r3rbk1/1p1b1pp1/p2ppn1p/q4P2/3NP3/1BN5/PPP3QP/1K1R2R1 b - - 0 18. What is the best move?,queen on a5 to e5
Black to move. Position is rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2. What is the best move?,knight on b8 to c6
Black to move. Position is rnbqkb1r/5ppp/p3pn2/1pp5/3P4/1BN1PN2/PP3PPP/R1BQ1RK1 b kq - 1 8. What is the best move?,bishop on c8 to b7
White to move. Position is r3k2r/1pqnbpp1/p1p1pnp1/8/3P2P1/2N1P2P/PP3PB1/R1BQ1RK1 w kq - 4 14. What is the best move?,pawn on g4 to g5
Black to move. Position is 1rr5/3kp3/p1ppbbp1/N4n2/1P1PN2p/P3B2P/3RKPP1/2R5 b - - 3 34. What is the best move?,rook on b8 to b5
Black to move. Position is 3r2k1/3q1ppp/ppr1b3/4P3/3P3R/3BQ2P/1P4P1/5R1K b - - 4 33. What is the best move?,pawn on h7 to h6
Black to move. Position is r1b1kb1r/pp3ppp/1np5/3p2B1/3P4/3BP3/PP1N1PPP/R3K2R b KQkq - 1 11. What is the best move?,pawn on a7 to a5
Black to move. Position is 8/p2bk2P/1p3p2/2p1p3/2P5/3B4/PP5r/1K2R3 b - - 2 40. What is the best move?,pawn on f6 to f5
White to move. Position is r1bqkb1r/pp3ppp/2nppn2/1N6/2P1P3/8/PP3PPP/RNBQKB1R w KQkq - 1 7. What is the best move?,knight on b1 to c3
Black to move. Position is 8/pPk3p1/4p2p/6r1/8/7P/1R4P1/6K1 b - - 2 39. What is the best move?,king on c7 to b8
Black to move. Position is r2qrbk1/1b3p2/p4npp/np1Pp3/1Pp5/2PP1NNP/P1BB1PP1/R2QR1K1 b - b3 0 18. What is the best move?,pawn on c4 captures pawn on d3
Black to move. Position is r3kq1r/1p4pp/p3p3/8/Q3p3/4B3/PPP3PP/R5K1 b kq - 1 17. What is the best move?,pawn on b7 to b5
Black to move. Position is rn1q1rk1/pp3ppp/2p1pn2/5b2/PbBP4/2N1PN2/1P2QPPP/R1B2RK1 b - - 4 9. What is the best move?,pawn on h7 to h6
Black to move. Position is 8/8/5p1p/5P2/5kPK/5r1P/6bR/8 b - - 7 63. What is the best move?,rook on f3 to g3
Black to move. Position is 2r2rk1/pp3pp1/2n3b1/2qNnpPp/5B1P/7R/PPP1Q1B1/2KR4 b - - 5 19. What is the best move?,knight on e5 to c4
Black to move. Position is 3q1rk1/p1rbnppp/B3p3/8/2n5/1N1Q2P1/P3PP1P/R1B2RK1 b - - 2 17. What is the best move?,knight on c4 to e5
White to move. Position is 1r3r1k/2q2ppP/3pbb2/p3p2P/1p2P3/3BBP2/PPPQ4/1K4RR w - - 1 24. What is the best move?,bishop on e3 to g5
White to move. Position is r2q1rk1/4bp1p/p1b1pnp1/P7/1p1P1P2/3B2N1/1P2Q1PP/R1B2RK1 w - - 0 19. What is the best move?,king on g1 to h1
White to move. Position is rnbqkb1r/pp2pp1p/5np1/6B1/2pN4/2N5/PP2PPPP/R2QKB1R w KQkq - 0 7. What is the best move?,pawn on e2 to e4
Black to move. Position is 2kr1b1r/1ppqn1pp/p1p1bp2/8/3PPB2/2N2N1P/PP3PP1/2RQ1RK1 b - - 6 12. What is the best move?,knight on e7 to g6
Black to move. Position is rnbqk2r/ppp2pbp/3p1np1/4p3/4P3/3P1NP1/PPP2PBP/RNBQ1RK1 b kq - 0 6. What is the best move?,pawn on c7 to c5
White to move. Position is 3r1rk1/pp3ppp/2ppqn2/3N1n2/4P3/1P6/PBP3PP/R2QR1K1 w - - 0 19. What is the best move?,knight on d5 captures knight on f6
White to move. Position is 2q2rbk/ppp1r1bp/3p2p1/5p2/2P2B1P/1P4P1/P2QPPBK/2RR4 w - - 1 22. What is the best move?,bishop on g2 to f3
Black to move. Position is 4r3/3rnbk1/1pp2pn1/p5p1/P2PP1Pp/1P2N2P/2BR1KN1/2R5 b - - 8 42. What is the best move?,rook on e8 to d8
Black to move. Position is rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1. What is the best move?,pawn on c7 to c5
White to move. Position is r5k1/2R2p1p/4b1p1/pp6/8/P4P2/4K3/7R w - - 0 34. What is the best move?,rook on h1 to b1
White to move. Position is 7k/5Qp1/4Bn2/4q2p/2p4P/2P3P1/5PK1/8 w - - 0 52. What is the best move?,bishop on e6 captures pawn on c4
Black to move. Position is rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1. What is the best move?,pawn on c7 to c5
Black to move. Position is r1bk1n1r/pp1nq2p/2p2p1R/3p4/3PpN2/2NB2Q1/PPP2PP1/2K1R3 b - - 1 17. What is the best move?,queen on e7 to f7
Black to move. Position is 1r2r1k1/3npp1p/pp1pb1p1/2qN4/2P1PP2/2R5/PP1QB1PP/3R3K b - - 2 22. What is the best move?,bishop on e6 captures knight on d5
White to move. Position is 4rrk1/2ppqp2/bpn1pb1p/p5p1/2PP4/P3P1P1/1PQN1PBP/RN1R2K1 w - - 0 15. What is the best move?,knight on b1 to c3
Black to move. Position is r3r1k1/pp1q1ppp/2p1pn2/5b2/PbBP4/2N1PP2/1P2Q1PP/R1BR2K1 b - - 0 13. What is the best move?,bishop on f5 to g6
Black to move. Position is r1bqkb1r/pp1n1ppp/2pp3n/4p1N1/2BPPP2/8/PPP3PP/RNBQK2R b KQkq - 0 6. What is the best move?,bishop on f8 to e7
White to move. Position is 2bq1rk1/5rb1/1p1p1n1p/p1pPn3/P1P2NP1/2NB2QP/1P1B2K1/R6R w - - 7 24. What is the best move?,rook on a1 to f1
Black to move. Position is r1bq1rk1/pppnbppp/4pn2/3p2B1/2PP4/2NBPN2/PP3PPP/R2QK2R b KQ - 2 7. What is the best move?,pawn on d5 captures pawn on c4
Black to move. Position is rnbk3r/p2nppbp/1p4p1/2p5/2P1P3/2N1BP2/PP2N1PP/2KR1B1R b - - 1 10. What is the best move?,knight on b8 to c6
Black to move. Position is rnbqkb1r/pppppppp/8/3nP3/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 2 3. What is the best move?,pawn on e7 to e6
Black to move. Position is r1q4k/ppp3b1/6Q1/5N2/8/8/PPP2PPP/4R1K1 b - - 0 28. What is the best move?,queen on c8 captures knight on f5
White to move. Position is rnbqk2r/ppp2p2/4p1pp/3pP3/3Pn1Q1/P1b1B3/1PP2PPP/R3KBNR w KQkq - 0 9. What is the best move?,pawn on b2 captures bishop on c3
Black to move. Position is 8/8/5pk1/r5p1/8/4R3/3RKP2/6r1 b - - 42 59. What is the best move?,pawn on f6 to f5
White to move. Position is r2qr1k1/pp1n1ppp/3p1n2/2bP4/6P1/P1N3NP/1P3Pb1/R1BQ1RK1 w - - 0 16. What is the best move?,king on g1 captures bishop on g2
Black to move. Position is r2qkb1r/ppp2ppp/3pb3/2nNn3/2P5/1P2Q1P1/PB2PP1P/R3KBNR b KQkq - 4 10. What is the best move?,pawn on c7 to c6
