inputs,label
Black to move. Position is r2qkb1r/n1pp1ppp/4p1b1/1p6/1P1P3P/P3P1P1/1B1N1P2/R2QKB1R b KQkq - 0 13. What is the best move?,pawn on h7 to h5
White to move. Position is 8/5bpk/1R5p/7P/1P6/5P2/1r4P1/6K1 w - - 9 45. What is the best move?,rook on b6 to b5
White to move. Position is r5k1/1pp3p1/3p1r1p/3Pp3/2P5/1PR2PP1/4R1KP/8 w - - 1 40. What is the best move?,pawn on c4 to c5
Black to move. Position is 6k1/p4p1p/1p4p1/6q1/P2Q4/5P1K/4r1PP/6R1 b - - 4 30. What is the best move?,pawn on h7 to h5
Black to move. Position is 3r4/5k2/6pp/3Np3/1p2P3/1P2K3/2P3PP/8 b - - 2 41. What is the best move?,rook on d8 to b8
Black to move. Position is rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2. What is the best move?,knight on b8 to c6
Black to move. Position is 4r3/1p2rpk1/1p3n1p/1b1pRB2/3P1KP1/P3NP2/1P6/7R b - - 12 43. What is the best move?,bishop on b5 to c6
White to move. Position is rnbqkb1r/pp2pppp/2p2n2/3P4/2P5/8/PP1P1PPP/RNBQKBNR w KQkq - 1 4. What is the best move?,knight on b1 to c3
Black to move. Position is 8/p7/1p3k1p/5N2/3P1PP1/P1nB2K1/8/3b4 b - - 1 51. What is the best move?,pawn on b6 to b5
Black to move. Position is r2r2k1/1p2p1b1/1q4p1/PNp1pb1p/2P2Pn1/1Q3B2/6PP/2RRB1K1 b - - 0 32. What is the best move?,rook on a8 captures pawn on a5
Black to move. Position is 2k5/4nR2/4P3/1Pqp1p2/6r1/P2RQN1K/2r4P/8 b - - 8 40. What is the best move?,queen on c5 to c4
Black to move. Position is r1b1rbk1/2q2ppp/p1n1pn2/p3P3/8/1NN1BB2/1PP3PP/R2Q1R1K b - - 0 16. What is the best move?,rook on e8 to d8
Black to move. Position is 3k4/pr3ppp/8/8/1b2R3/1P1p1P2/P2B1P1P/4K3 b - - 3 33. What is the best move?,pawn on a7 to a5
White to move. Position is 1q2k2r/1r1n1ppp/2Qbp3/2p5/5B2/8/1PP2PPP/R2R2K1 w k - 2 20. What is the best move?,bishop on f4 captures bishop on d6
Black to move. Position is 8/8/1pR4k/1Pp2Kp1/3r3p/8/7P/8 b - - 1 67. What is the best move?,king on h6 to h5
Black to move. Position is r2qkbnr/pp1nppp1/2p3bp/7P/3P4/5NN1/PPP2PP1/R1BQKB1R b KQkq - 0 8. What is the best move?,bishop on g6 to h7
White to move. Position is 4b3/p2qk3/1p1r1p1Q/2p1p3/2P4P/8/PPB5/1K2R3 w - - 0 33. What is the best move?,queen on h6 to g7
Black to move. Position is 1N1R1bk1/5p1p/p3p3/4P3/P6P/8/2r5/7K b - - 2 35. What is the best move?,king on g8 to g7
White to move. Position is r2q3r/6kp/p2p2p1/1p2n1b1/4P3/2N5/PPP1Q2P/1K1R1B1R w - - 2 20. What is the best move?,knight on c3 to d5
Black to move. Position is r4rk1/1pp2pp1/p2pq1np/4p3/3PP3/1PPQ2P1/2PN1P1P/R3R1K1 b - - 4 20. What is the best move?,pawn on f7 to f5
White to move. Position is 1r1r4/5pk1/6pp/1p1Np3/4P3/1P3P2/2PR1KPP/8 w - - 2 34. What is the best move?,pawn on g2 to g4
White to move. Position is rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3. What is the best move?,knight on b1 to c3
White to move. Position is rnbqkbnr/pp1p1ppp/4p3/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4. What is the best move?,knight on f3 captures pawn on d4
Black to move. Position is r5k1/4qp1p/3p2n1/3P1Q2/1p2Pp2/7P/P4RP1/3B3K b - - 3 31. What is the best move?,queen on e7 to a7
White to move. Position is r5k1/1N3pp1/4b3/4n3/8/5rP1/2RRn1BK/8 w - - 0 37. What is the best move?,rook on d2 captures knight on e2
Black to move. Position is r2qk2r/1b1nb1pp/p3p3/1p1pPp2/1P1N1P2/P2PB3/4Q1PP/2RNK2R b Kkq - 5 17. What is the best move?,knight on d7 to f8
White to move. Position is 8/1r2rpk1/3R2p1/1P2p3/2B1P3/4bP2/1PK5/3R4 w - - 9 39. What is the best move?,rook on d6 to c6
Black to move. Position is rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2. What is the best move?,knight on b8 to c6
Black to move. Position is rn1qkb1r/pp2npp1/4p1b1/2ppPP1p/3P2PP/2N5/PPP1N3/R1BQKB1R b KQkq - 0 9. What is the best move?,pawn on e6 captures pawn on f5
Black to move. Position is rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/P4N2/1P2PPPP/RNBQKB1R b KQkq - 0 4. What is the best move?,bishop on c8 to b7
White to move. Position is r1bqk2r/2p2ppp/pbnp1n2/1p2p3/3PP3/2P2N2/PPB2PPP/RNBQ1RK1 w kq - 1 9. What is the best move?,pawn on h2 to h3
Black to move. Position is r3r1k1/1pq2pp1/p1p2n2/1PNn4/P1QN2b1/6P1/3RPP2/2R3KB b - - 0 25. What is the best move?,rook on e8 to e3
White to move. Position is r1bqkbnr/pp2pppp/2np4/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4. What is the best move?,castling kingside
White to move. Position is 1r6/6k1/2Rp2pp/4p3/p5P1/1P1P3P/P7/5K2 w - - 0 32. What is the best move?,pawn on b3 captures pawn on a4
White to move. Position is 6k1/6p1/3bp2p/5p2/2qBb3/2P5/p5PP/2R1Q1K1 w - - 6 44. What is the best move?,queen on e1 to d2
Black to move. Position is 3r2k1/pNb3pp/2pq1n2/4rp1b/2PPp3/P1Q1B2P/1P3PP1/R3R1K1 b - - 1 23. What is the best move?,queen on d6 to f8
White to move. Position is r4rk1/1p2bpp1/1p2bn1p/3p2B1/3P4/1B3N1P/PP3PP1/R3R1K1 w - - 0 19. What is the best move?,bishop on g5 to e3
Black to move. Position is 8/1r6/7p/2kNp1pP/1p2P1P1/1P2K3/2P5/8 b - - 0 47. What is the best move?,rook on b7 to f7
White to move. Position is 1r6/3nk2p/ppR2pp1/4p3/1P2N1P1/4P3/P4PKP/8 w - - 1 27. What is the best move?,knight on e4 to c3
White to move. Position is r1b1rbk1/2q2ppp/p1n1pn2/p3p3/5P2/1NN1BB2/1PP3PP/R2Q1R1K w - - 0 16. What is the best move?,pawn on f4 captures pawn on e5
White to move. Position is rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3. What is the best move?,pawn on d4 to d5
White to move. Position is rn1qkb1r/p1p2ppp/bp2pn2/3p4/2PP4/1P3NP1/P3PP1P/RNBQKB1R w KQkq - 0 6. What is the best move?,bishop on f1 to g2
Black to move. Position is r1bq1rk1/pp2bppp/2p2n2/6B1/1nBP4/2N2N1P/PP3PP1/R2Q1RK1 b - - 1 13. What is the best move?,knight on b4 to d5
White to move. Position is 2k5/pp4pp/1nn5/2bq4/3PRP2/N1P5/6PP/R1B4K w - - 1 25. What is the best move?,rook on e4 to e1
Black to move. Position is rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1. What is the best move?,pawn on d7 to d5
White to move. Position is r1bqr1k1/pp3pbp/n2p1np1/2pP4/4P3/2N2N2/PPQ1BPPP/R1B2RK1 w - - 8 11. What is the best move?,bishop on e2 captures knight on a6
White to move. Position is B1br1bk1/5ppp/p3pn2/p3q3/3n4/2N1B3/1PP3PP/R2Q1R1K w - - 0 19. What is the best move?,bishop on e3 to f4
Black to move. Position is r1bqkb1r/pp1ppppp/2n2n2/8/2PN4/2N5/PP2PPPP/R1BQKB1R b KQkq - 0 5. What is the best move?,pawn on e7 to e6
Black to move. Position is rnbqkb1r/pp2pppp/3p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 2 5. What is the best move?,pawn on a7 to a6
Black to move. Position is 5rk1/1B2p1b1/5qp1/PNp2b2/2P2pp1/1Q4P1/8/3RB1K1 b - - 0 37. What is the best move?,pawn on g6 to g5
White to move. Position is 8/3b4/1p1P2kp/p4N2/5PPK/P1nB4/8/8 w - - 0 55. What is the best move?,knight on f5 to e3
White to move. Position is 3k4/B4ppp/8/8/1b3P2/1P1p4/P4P1P/3K4 w - - 0 41. What is the best move?,pawn on f4 to f5
White to move. Position is 8/pb2rkp1/1p1Rpr1p/8/1PB5/8/5PPP/4R1K1 w - - 1 29. What is the best move?,pawn on f2 to f3
White to move. Position is r2qn1k1/3b1rpp/2p1p3/pp2Bp2/2PP4/P3PP1P/1P3QR1/2K2BR1 w - - 2 22. What is the best move?,bishop on f1 to e2
Black to move. Position is 8/6kp/5bp1/3Q4/4P3/q1N5/2P5/3K4 b - - 2 42. What is the best move?,queen on a3 captures knight on c3
White to move. Position is 2r2rk1/4qppp/p2np3/1p1b4/1P6/P2RP3/1Q1NBPPP/3R2K1 w - - 7 23. What is the best move?,queen on b2 to e5
White to move. Position is r2qr1k1/p2b2pp/2p1pn2/1p2Bp2/2PP4/P3PP1P/1PQ5/2KR1B1R w - - 0 18. What is the best move?,queen on c2 to g2
Black to move. Position is r2qr1k1/p1b3pp/2p2n2/2N1Np1b/2PPp3/P6P/1P1Q1PP1/R1B1R1K1 b - - 3 20. What is the best move?,pawn on a7 to a5
Black to move. Position is r5k1/5p1p/b2Pp1p1/p1N5/2P2P2/6P1/P4K1P/1R6 b - - 0 32. What is the best move?,bishop on a6 captures pawn on c4
Black to move. Position is 8/1b3k1p/1p5B/2p2n2/Q4K1P/1P2N3/P7/7q b - - 1 55. What is the best move?,pawn on b6 to b5
Black to move. Position is r3k2r/4bppp/p3bn2/3p4/N7/3BB3/PP3PPP/R3R1K1 b kq - 2 15. What is the best move?,pawn on d5 to d4
White to move. Position is 2r1k3/4nppp/4p3/1PqpP3/r2N2P1/P2RQP2/7P/5R1K w - - 3 29. What is the best move?,pawn on f3 to f4
White to move. Position is 5rk1/p4p1p/5Rp1/3BQ3/8/3n2PP/5P1K/3q4 w - - 1 39. What is the best move?,bishop on d5 captures pawn on f7
White to move. Position is rnbq1rk1/pp2ppbp/3p1np1/2pP4/2P1P3/2NB4/PP3PPP/R1BQK1NR w KQ - 2 7. What is the best move?,pawn on h2 to h3
Black to move. Position is r2qkb1r/2pp1ppp/p1n1p1b1/1P6/1P1P4/P3P1P1/3N1P1P/R1BQKB1R b KQkq - 0 11. What is the best move?,pawn on a6 captures pawn on b5
White to move. Position is 1r3rk1/2q2pbp/p3b1p1/N1pn4/P7/1P6/2QBBPPP/R4RK1 w - - 0 21. What is the best move?,rook on a1 to c1
White to move. Position is r3r1k1/1pq2pp1/p1p2n2/2Nn4/PPQN2b1/6P1/3RPP2/2R3KB w - - 1 25. What is the best move?,pawn on e2 to e4
White to move. Position is 1r2r1k1/1pqbbppp/p1nppn2/8/P2NPP2/2N1BB2/1PPQ2PP/R4R1K w - - 7 14. What is the best move?,knight on d4 to b3
White to move. Position is 8/6kp/3p1bp1/1p1Q4/2n1P3/2N4B/1PP4q/1K6 w - - 0 34. What is the best move?,knight on c3 captures pawn on b5
White to move. Position is r3r1k1/pp1n1pp1/q1p1pn1p/7P/1BPP4/3Q1N2/PP3PP1/R3R1K1 w - - 2 20. What is the best move?,knight on f3 to e5
Black to move. Position is r2qr1k1/1p1nppbp/1P2b1p1/1Np5/2P1P3/4BP2/P2QB1PP/2RR2K1 b - - 4 23. What is the best move?,queen on d8 captures pawn on b6
White to move. Position is rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5. What is the best move?,bishop on c1 to f4
Black to move. Position is 1k3rr1/pp1b4/4p3/2PPPnn1/5N1q/7P/4QPP1/R1BR3K b - - 0 32. What is the best move?,pawn on e6 captures pawn on d5
Black to move. Position is 8/3b4/1p1P2kp/p7/5PPK/P1nBN3/8/8 b - - 1 55. What is the best move?,king on g6 to f7
White to move. Position is r2q1rk1/4bppp/p1b1pn2/1p1p4/3P1B2/1QN3P1/PP2PPBP/2R2RK1 w - - 0 14. What is the best move?,knight on c3 to e4
Black to move. Position is 8/r2b1kR1/2pqpn1Q/pp3p2/2PP4/P3PP1P/1P6/2K2B2 b - - 1 29. What is the best move?,king on f7 to e8
White to move. Position is 4kb1r/1bqn1ppp/pp2p3/3p4/P3nP2/2P1BB2/2P1N1PP/R3QRK1 w k - 0 15. What is the best move?,bishop on f3 captures knight on e4
White to move. Position is r5k1/5p1p/3Pp1p1/p1N5/2b2P2/6P1/P4K1P/1R6 w - - 0 33. What is the best move?,pawn on a2 to a4
White to move. Position is rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3. What is the best move?,knight on b1 to c3
Black to move. Position is 3r3k/p4pp1/8/6Pp/1BP4P/2KB1p1b/P7/3N4 b - - 5 40. What is the best move?,bishop on h3 to f1
Black to move. Position is 8/5qkp/3p4/3P2Q1/1p2Pp2/7P/r5P1/7K b - - 9 45. What is the best move?,king on g7 to f8
Black to move. Position is B1br1bk1/2q2ppp/p3pn2/p3P3/3n4/2N1B3/1PP3PP/R2Q1R1K b - - 0 18. What is the best move?,knight on d4 to f5
Black to move. Position is r1bq1rk1/1p1nbpp1/p1p1pn1p/3p4/2PP1B2/P1N1PN1P/1P3PP1/2RQKB1R b K - 0 10. What is the best move?,pawn on d5 captures pawn on c4
White to move. Position is rn1qkb1r/pbp2ppp/1p2pn2/3p4/2PP4/P1N2N2/1P2PPPP/R1BQKB1R w KQkq - 0 6. What is the best move?,bishop on c1 to g5
Black to move. Position is b2r2k1/7p/p1q5/P1p3p1/5p1P/2P5/2P1NR1K/4Q3 b - - 2 32. What is the best move?,queen on c6 to e4
White to move. Position is r5k1/p4qP1/1pn1pBNr/2pp1nQp/7P/P2P1R2/5PP1/4RK2 w - - 5 31. What is the best move?,rook on f3 captures knight on f5
White to move. Position is 8/1r2rp2/5kp1/1P1Rp3/2B1P3/4bP2/1PK5/3R4 w - - 7 38. What is the best move?,rook on d1 to d3
Black to move. Position is r4rk1/1pp1qpp1/p2pnn1p/4p3/4P3/1PPP1NB1/2PQ1PPP/R3R1K1 b - - 1 15. What is the best move?,knight on f6 to h5
White to move. Position is 1r4k1/p5p1/2RNpn1p/2B4P/r7/P7/1n3PP1/4R1K1 w - - 2 30. What is the best move?,rook on e1 to b1
Black to move. Position is r3kb1r/1b1p1pp1/p1q1pn2/1p5p/4PP2/P1NBB3/1PP1Q1PP/R4RK1 b kq - 0 12. What is the best move?,knight on f6 to g4
White to move. Position is 3r4/3P3p/3kppp1/R1Nb4/P4P2/4K1P1/7P/8 w - - 0 39. What is the best move?,king on e3 to d4
Black to move. Position is 3k4/pr2bppp/8/8/4RB2/1P1p1P2/P4P1P/4K3 b - - 1 32. What is the best move?,bishop on e7 to c5
Black to move. Position is r2qr1k1/pp3pbp/3B2p1/2p2b2/4N3/5B2/PP3PPP/RQ3RK1 b - - 0 17. What is the best move?,bishop on f5 captures knight on e4
White to move. Position is r2b1k2/p2qnp2/3Nb3/3pP2r/1PpN1Bpp/8/P2Q1PPP/R3R1K1 w - - 8 22. What is the best move?,pawn on h2 to h3
Black to move. Position is r2qkbnr/pp1b1ppp/2n5/1B1QP3/4p3/2N5/PP3PPP/R1B1K1NR b KQkq - 2 8. What is the best move?,bishop on f8 to b4
White to move. Position is 5rk1/1pp3p1/p2p1r1p/3Pp3/1qP5/1P1QRPP1/2P1R1KP/8 w - - 13 36. What is the best move?,queen on d3 to c3
White to move. Position is r3kbnr/pp1bqppp/2n5/1B1QP3/4p3/2N5/PP3PPP/R1B1K1NR w KQkq - 3 9. What is the best move?,knight on g1 to e2
White to move. Position is 2r2rk1/pp3pp1/2n3b1/2qNnpPp/5B1P/8/PPP1Q1B1/2KR3R w - - 4 19. What is the best move?,queen on e2 to e3
Black to move. Position is rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2. What is the best move?,pawn on e7 to e6
White to move. Position is 5k2/pp2n3/3p1Nbp/8/3P4/PBP3P1/5P2/6K1 w - - 1 35. What is the best move?,king on g1 to g2
White to move. Position is 6k1/1p3p1p/p1p3pn/2P1N3/4P3/5P2/PP1r2PP/4R1K1 w - - 1 26. What is the best move?,knight on e5 to c4
White to move. Position is rnbq1rk1/pp4pp/2p1p3/3p4/1bPPpB2/2N1P3/PPQ2PPP/R3KB1R w KQ - 0 10. What is the best move?,castling queenside
White to move. Position is rn1q1rk1/pb3ppp/1p2pn2/3p4/1pPP4/1P1Q1NP1/P3PPBP/RN3RK1 w - - 0 11. What is the best move?,knight on f3 to e5
White to move. Position is r2qr1k1/pp1b2pp/2p1pn2/4Bp2/2PPp3/P3P2P/1PQ2PP1/2KR1B1R w - - 6 16. What is the best move?,pawn on g2 to g4
White to move. Position is r1bq1rk1/pp3pbp/n5p1/2pP4/2n5/2N3PP/PP2NPB1/R1BQ1RK1 w - - 1 13. What is the best move?,pawn on g3 to g4
Black to move. Position is 3r3k/p4pp1/8/1pqN1bPp/1BP2p1P/1P3B2/PK6/3Q4 b - - 1 33. What is the best move?,queen on c5 to f2
White to move. Position is r3kbnr/1pp2ppp/p1p5/8/3qP1b1/2N2N2/PPP2PPP/R1B1K2R w KQkq - 0 8. What is the best move?,knight on f3 captures queen on d4
White to move. Position is r4b1r/p4ppp/4k3/3p4/8/5P2/PP3P1P/R1B2RK1 w - - 2 17. What is the best move?,rook on f1 to e1
White to move. Position is r1bqkbnr/5ppp/p1p1p3/3p4/4P3/3B4/PPP2PPP/RNBQ1RK1 w kq - 0 8. What is the best move?,rook on f1 to e1
Black to move. Position is r1b1kb1r/1pqp1ppp/p3pn2/8/3BP3/2NB4/PPP2PPP/R2Q1RK1 b kq - 0 9. What is the best move?,bishop on f8 to c5
White to move. Position is 2r3k1/pp1bppbp/q2p2p1/3P4/2n5/2BN2PP/PP1QPPB1/R5K1 w - - 3 22. What is the best move?,queen on d2 to g5
White to move. Position is r2q1rk1/1p1bppbp/p1np1np1/8/2P1P3/2N1B3/PPN1BPPP/R2Q1RK1 w - - 0 11. What is the best move?,king on g1 to h1
White to move. Position is rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2. What is the best move?,knight on g1 to f3
Black to move. Position is 1r3rk1/1b3ppp/p3p3/2BqP3/P6b/1N6/1PP1Q1PP/4RR1K b - - 4 23. What is the best move?,rook on f8 to c8
Black to move. Position is rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1. What is the best move?,pawn on c7 to c5
White to move. Position is r1b4r/pp2kpp1/2p1pn1p/4q3/7Q/2PB4/PP3PPP/R1B1K2R w KQ - 0 15. What is the best move?,bishop on c1 to e3
Black to move. Position is r1bqk1nr/pp2ppbp/2np2p1/2p5/2B1PP2/2N2N2/PPPP2PP/R1BQ1RK1 b kq - 3 6. What is the best move?,pawn on e7 to e6
White to move. Position is 8/8/1pR5/1Pp2Kpk/3r3p/8/7P/8 w - - 2 68. What is the best move?,rook on c6 captures pawn on b6
Black to move. Position is r1br2k1/1q1n1ppp/4p3/p1ppP3/N4P2/1PPB2P1/P3Q2P/4RRK1 b - - 2 20. What is the best move?,queen on b7 to c7
Black to move. Position is 8/2p3p1/1p1p4/3P1k1p/1PPK4/5r2/2R4P/8 b - - 5 54. What is the best move?,rook on f3 to f4
Black to move. Position is 4rrk1/p4pp1/2pbq3/3p1b2/4P1n1/1PN2BP1/PB3P2/2RQR1K1 b - - 0 20. What is the best move?,bishop on d6 to c5
Black to move. Position is 8/8/8/4p2r/1p6/1PkNK3/2P5/8 b - - 5 58. What is the best move?,rook on h5 to h4
White to move. Position is 8/2p3pk/1p1p1r1p/3Pp3/2P3K1/1PR2PP1/1R5P/r7 w - - 4 43. What is the best move?,rook on b2 to c2
Black to move. Position is 2rq1rk1/p4ppp/bpn2n2/2bp4/N7/1P4P1/PB1NPPBP/R2Q1RK1 b - - 1 13. What is the best move?,rook on f8 to e8
Black to move. Position is 2k1r3/2p1r1pp/pp3p2/2p2PP1/2n1PB1P/2P2K2/P1P1R3/3R4 b - - 2 26. What is the best move?,rook on e7 to f7
White to move. Position is 8/5R1p/6k1/2PBb3/4P1b1/5p2/1P2r3/2K5 w - - 0 44. What is the best move?,rook on f7 to f5
White to move. Position is rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2. What is the best move?,pawn on c2 to c4
Black to move. Position is 8/8/4pn1k/4N1pp/p7/3K2P1/5P2/2B5 b - - 13 53. What is the best move?,knight on f6 to d5
Black to move. Position is 8/7n/4p1k1/2N3pp/p7/6P1/4KP2/2B5 b - - 19 56. What is the best move?,king on g6 to f5
Black to move. Position is 8/6B1/8/pk5P/8/3pb3/P5P1/3K4 b - - 2 51. What is the best move?,king on b5 to b4
White to move. Position is r1bqk2r/ppp1bppp/2n2n2/3p4/2PP4/3B1N2/PP3PPP/RNBQ1RK1 w kq - 1 9. What is the best move?,pawn on c4 to c5
White to move. Position is 4rnk1/pb2qp1p/1p3p2/3pP3/1p1Q4/1Pr2NP1/P3P1BP/R3R2K w - - 0 25. What is the best move?,pawn on e5 captures pawn on f6
Black to move. Position is r1r3k1/1p3p2/1p2b2p/3p2p1/1b1Pn3/1B1N3P/PP2RPPB/R5K1 b - - 5 23. What is the best move?,bishop on b4 to d6
White to move. Position is 1rb2rk1/4bppp/pp2p3/3qP3/P7/1N2B3/1PP2QPP/4RR1K w - - 0 21. What is the best move?,rook on e1 to d1
White to move. Position is 2r2rk1/4qppp/p3p3/1p1b4/1P2n3/P2RPN2/1Q2BPPP/3R2K1 w - - 5 22. What is the best move?,knight on f3 to d2
Black to move. Position is rnbqkb1r/ppp2ppp/4pn2/3p2B1/3PP3/2N5/PPP2PPP/R2QKBNR b KQkq - 3 4. What is the best move?,pawn on d5 captures pawn on e4
Black to move. Position is 6k1/2p5/8/p2PPb1p/2P5/6p1/PP4P1/3R1KQq b - - 2 36. What is the best move?,queen on h1 to h4
White to move. Position is 5bk1/6p1/4p2p/3b1p2/2qB4/2P3Q1/p5PP/R5K1 w - - 2 42. What is the best move?,queen on g3 to e3
White to move. Position is 2rqr1k1/1p2ppbp/1P1pb1p1/p1n1n3/N1P1P3/N3BP2/P2QB1PP/2RR2K1 w - - 1 20. What is the best move?,bishop on e3 captures knight on c5
White to move. Position is rnbqkbnr/pp1ppppp/8/2p5/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2. What is the best move?,knight on g1 to f3
Black to move. Position is 1r6/6k1/2Rp2pp/p3p3/6P1/1P1P3P/P7/5K2 b - - 0 31. What is the best move?,pawn on a5 to a4
Black to move. Position is 6k1/p1Q2bb1/1p3p2/2p2qpp/2P5/1P6/P3rNPP/2B2RK1 b - - 4 32. What is the best move?,rook on e2 captures pawn on a2
Black to move. Position is 8/7R/2bk2p1/4p3/P7/3N1rP1/4K2P/8 b - - 6 50. What is the best move?,pawn on e5 to e4
Black to move. Position is rnbqkbnr/pp1ppppp/2p5/8/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq - 0 2. What is the best move?,pawn on d7 to d5
Black to move. Position is r2qr1k1/p4ppp/2pbp1b1/2pn4/4N3/3P1N1P/PPP2PP1/R1BQR1K1 b - - 10 14. What is the best move?,bishop on d6 to c7
White to move. Position is 8/pp2n1k1/3p2bp/8/3P2N1/PBP3P1/5P2/6K1 w - - 3 36. What is the best move?,king on g1 to f1
White to move. Position is r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4. What is the best move?,bishop on b5 to a4
Black to move. Position is r3rnk1/1bq5/p3pb1p/1p5Q/2p3R1/P1N1P2P/1P3PP1/1B3RK1 b - - 1 23. What is the best move?,bishop on f6 to g7
White to move. Position is 4bk2/pp3p2/2np1q1p/6p1/2BPQN1P/P1P3P1/5P2/6K1 w - - 0 28. What is the best move?,pawn on h4 captures pawn on g5
Black to move. Position is r5k1/p1Q3b1/1p3p2/2pb1qpp/8/1PP1B3/P4NPP/3R2K1 b - - 0 29. What is the best move?,rook on a8 to e8
White to move. Position is r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3. What is the best move?,pawn on d2 to d4
