inputs,label
FEN: 1n1r4/r4pkp/pp4p1/4p3/3N4/1P2P1P1/P1R2PKP/5R2 w - - 0 19. Best move: d4f3. Evaluation: 29. Explain why d4f3 is the best move.,"
A mistake, as White will be able to capitalize on the resultant weakening of the Black pawn structure.
Better is 18...Kf8 19.Rfc1, transposing to the Andersson-Hort game in the previous note, although as we saw, White also enjoys more pleasant prospects in that instance.
"
FEN: 1n1r4/r5kp/pp3pp1/4p3/8/1P2PNP1/P1R2PKP/5R2 w - - 0 20. Best move: g3g4. Evaluation: 81. Explain why g3g4 is the best move.,"
Passively defending the e-pawn with 19...Re7 can be met with 20.Rfc1 Kf8 21.Rc8, and White stands better.
"
FEN: 1n1r4/r5kp/pp3pp1/4p3/6P1/1P2PN2/P1R2PKP/5R2 b - - 0 20. Best move: a6a5. Evaluation: 59. Explain why a6a5 is the best move.,"
White gains space on the kingside and has a perceptible advantage.
"
FEN: 8/r2n2kp/ppR2pp1/4p3/6P1/1P2PN2/P4PKP/8 b - - 0 23. Best move: b6b5. Evaluation: 126. Explain why b6b5 is the best move.,"
An exchange of rooks has exposed Black's tender spots along his third rank (b6, d6).
"
FEN: 8/r2n1k1p/ppR2pp1/4p3/6P1/1P2P3/P2N1PKP/8 b - - 2 24. Best move: f7e7. Evaluation: 174. Explain why f7e7 is the best move.,"
Andersson redirects his knight to the more lucrative outpost on e4.
"
FEN: 8/r2nk2p/ppR2pp1/4p3/6P1/1P2P3/P2N1PKP/8 w - - 3 25. Best move: d2e4. Evaluation: 166. Explain why d2e4 is the best move.,"
Keeping the knight out of e4 with 24...f5? allows White to post the knight efficiently elsewhere with 25.gxf5 gxf5 26.Nc4, and Black is losing a pawn, as 26...b5 allows 27.Nd6+ etc.
"
FEN: 8/1r1nk2p/ppR2pp1/4p3/1P2N1P1/4P3/P4PKP/8 b - - 0 26. Best move: b7a7. Evaluation: 219. Explain why b7a7 is the best move.,"
Effectively binding Black's position.
"
FEN: 1r6/3nk2p/ppR2pp1/4p3/1P4P1/2N1P3/P4PKP/8 b - - 2 27. Best move: f6f5. Evaluation: 228. Explain why f6f5 is the best move.,"
Andersson now directs his knight to the more powerful post on d5.
"
FEN: 1r6/3nk2p/ppR3p1/4pp2/1P4P1/2N1P3/P4PKP/8 w - - 0 28. Best move: c3d5. Evaluation: 207. Explain why c3d5 is the best move.,"
If 27...Rb7 28.Nd5+ Kf7 then 29.e4! leaves Black without any useful move, for example 29...a5 (29...Rb8 30.Rc7, and White wins a pawn after 30...Ke6 31.Ra7 a5 32.bxa5 bxa5 33.Ra6+ Kf7 34.Rxa5, etc., while 29...Kg7 is met by 30.Re6! g5 31.Re7+ Kg6 32.Ne3, and the Black king is practically in a mating net) 30.b5, maintains the bind - Black is running out of moves.
"
FEN: 1r6/3n1k2/ppR3p1/3Npp1p/1P4P1/4P1K1/P4P1P/8 w - - 0 30. Best move: g4g5. Evaluation: 246. Explain why g4g5 is the best move.,"
White's king penetrates easily after this move by Black. But even after 29...fxg4 30.Kxg4, there is a grim defensive task for Black.
"
FEN: 8/1r1n1k2/pp1R4/3Npp1p/1P5K/4P3/P4P1P/8 b - - 3 32. Best move: a6a5. Evaluation: 281. Explain why a6a5 is the best move.,"
Andersson introduces his king as the last attacking unit in his endgame attack. Black's kingside pawns have become easy targets.
"
FEN: 8/1r1n2k1/pp1R4/3Npp1K/1P6/4P3/P4P1P/8 b - - 0 33. Best move: a6a5. Evaluation: 348. Explain why a6a5 is the best move.,"
The continuation might be 33...a5 34.b5 Kf7 (34...Kh7? loses to 35.Rxd7+ Rxd7 36.Nf6+) 35.Kg5, and White wins another pawn.
What we learn from a study of a game such as this is that no matter how quiet or simplified a position may appear on the surface, active and accurate defense is paramount as any mistake can lead to a technically lost endgame (with almost certain fatal consequences).
"
FEN: rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/P4N2/1P2PPPP/RNBQKB1R b KQkq - 0 4. Best move: c8b7. Evaluation: 19. Explain why c8b7 is the best move.,"
Kasparov had a fondness for this system of Petrosian's in the 1980s.
"
FEN: rn1qkb1r/pbpp1ppp/1p2p3/8/2PPn3/P1N2N2/1P2PPPP/R1BQKB1R w KQkq - 3 6. Best move: c3e4. Evaluation: 38. Explain why c3e4 is the best move.,"
This method of seeking early exchanges is distinctly dubious.
"
FEN: rn1qkb1r/p1pp1ppp/1p2p3/8/2PPb3/P7/1P1NPPPP/R1BQKB1R b KQkq - 1 7. Best move: e4b7. Evaluation: 46. Explain why e4b7 is the best move.,"
From a strategical standpoint, this move refutes Black's opening. Now Black can retreat with 7...Bb7 but after 8.e4, White has a distinct positional advantage.
"
FEN: rn1qkb1r/p1pp1ppp/1p2p1b1/8/2PP4/P5P1/1P1NPP1P/R1BQKB1R b KQkq - 0 8. Best move: f8e7. Evaluation: 74. Explain why f8e7 is the best move.,"
Now that the Black bishop has departed from the h1-a8 diagonal, Kasparov takes it for himself.
"
FEN: r2qkb1r/p1pp1ppp/1pn1p1b1/8/2PP4/P5P1/1P1NPP1P/R1BQKB1R w KQkq - 1 9. Best move: e2e3. Evaluation: 73. Explain why e2e3 is the best move.,"
It would seem more appropriate to play 8...c6 9.Bg2 d5, but after 10.0-0, White has the freer and easier game to play.
"
FEN: r2qkb1r/2pp1ppp/ppn1p1b1/8/2PP4/P3P1P1/1P1N1P1P/R1BQKB1R w KQkq - 0 10. Best move: h2h4. Evaluation: 104. Explain why h2h4 is the best move.,"
Andersson seeks counterplay with b6-b5, but his lag in development is a cause for concern.
"
FEN: r2qkb1r/2pp1ppp/p1n1p1b1/1p6/1PPP4/P3P1P1/3N1P1P/R1BQKB1R w KQkq - 0 11. Best move: c4b5. Evaluation: 133. Explain why c4b5 is the best move.,"
After 10...d5 11.Bb2 Be7 12.Rc1 Qd7 13.Bg2 0-0 14.cxd5 exd5 15.Qb3, White has a clear advantage.
"
FEN: r2qkb1r/n1pp1ppp/4p1b1/1p6/1P1P4/P3P1P1/1B1N1P1P/R2QKB1R w KQkq - 2 13. Best move: h2h4. Evaluation: 145. Explain why h2h4 is the best move.,"
Ulf Andersson has a reputation for being a very patient and solid defender, and thus a very difficult man to beat. This retreat of the knight has a view to the maneuver Na7-c8, followed by d7-d5 and Nc8-d6-c4. But White has some moves first!
"
FEN: r2qkb1r/n1pp1ppp/4p1b1/1p6/1P1P3P/P3P1P1/1B1N1P2/R2QKB1R b KQkq - 0 13. Best move: h7h5. Evaluation: 151. Explain why h7h5 is the best move.,"
Exploiting the misplaced ""Queen's Indian bishop. ""
"
FEN: r2qkb1r/n1pp1pp1/4p1bp/1p6/1P1P3P/P3P1P1/1B1N1P2/R2QKB1R w KQkq - 0 14. Best move: h4h5. Evaluation: 191. Explain why h4h5 is the best move.,"
Better was 13...h5.
"
FEN: r2qkb1r/n1pp1pp1/4p1bp/1p1P4/1P5P/P3P1P1/1B1N1P2/R2QKB1R b KQkq - 0 14. Best move: e6d5. Evaluation: 215. Explain why e6d5 is the best move.,"
A strong positional pawn sacrifice that opens the long diagonal for White's dark-squared bishop.
"
FEN: r2qkb1r/n2p1pp1/2p3bp/1p1p4/1P5P/P3P1P1/1B1N1PB1/R2Q1RK1 b kq - 1 16. Best move: f7f5. Evaluation: 219. Explain why f7f5 is the best move.,"
White's compensation for his pawn is enormous - a massive lead in development, two raking bishops, and a weakness on g7 that prevents Black catching up in development in a normal manner.
"
FEN: r2qkb1r/n2p2p1/2p2pbp/1p1p4/1P5P/P3P1P1/1B1N1PB1/R2QR1K1 b kq - 1 17. Best move: g6f7. Evaluation: 219. Explain why g6f7 is the best move.,"
The target is the Black king, with the e3-e4 break scheduled.
"
FEN: r2q3r/n2pbkp1/2p2pbp/1p1p3P/1P4Q1/P3P1P1/1B1N1PB1/R3R1K1 b - - 0 19. Best move: g6h7. Evaluation: 297. Explain why g6h7 is the best move.,"
Now after the inevitable exchange of light-squared bishops, White will have the g6-square at his disposal as an invasion point for his queen.
"
FEN: r2q3r/n2pbkp1/2p2p1p/1p5P/1P2N1Q1/P5P1/1B3P2/R3R1K1 b - - 0 22. Best move: a7c8. Evaluation: 333. Explain why a7c8 is the best move.,"
Now there are all manner of tactics brewing against the f6 and g7 points in the Black position.
"
FEN: r1nq3r/3pbkp1/2p2p1p/1p5P/1P2N1Q1/P5P1/1B3P2/R3R1K1 w - - 1 23. Best move: a1d1. Evaluation: 319. Explain why a1d1 is the best move.,"
Hoping to muster a ""second rank defense ""with Ra8-a7. Losing alternatives included 22...Rf8 23.Rad1 d5 24.Nxf6! when mate is unavoidable, and 22...Re8 23.Qg6+ Kf8,
when in his notes, Kasparov gives 24.g4! with the idea of Ne4-g3-f5 as winning. While this is adequate, I analyzed the following forcing continuation: 24.Ng5! hxg5 25.h6 gxh6 26.Qxh6+ Kf7 (or 26...Kg8 27.Qg6+ Kf8 (27...Kh8 28.Kg2!) 28.Kg2! - a ""quiet ""move when Black cannot unravel in time to meet the threat of Re1-h1-h8+.) 27.Qh7+
Kf8 28.Kg2! and now:
a) 28...Bd6 29.Qh8+ Kf7 30.Rxe8 Qae8 31.Qxf6+ Kg8 32.Qg7 mate;
b) 28...Nc8 29.Qg6 Nd6 29.Rh1 Nf7 30.Rh7, winning;
c) 28...d5 29.Bd4! c5 30.Qg6! cxd4 31.Rh1 Bd6 32.Rh7! Qc7 33.Qxf6+ Kg8 34.Rh8 mate.
"
FEN: 2nq3r/r2pbkp1/2p2p1p/1p5P/1P2N1Q1/P5P1/1B3P2/3RR1K1 w - - 3 24. Best move: b2d4. Evaluation: 359. Explain why b2d4 is the best move.,"
Also hopeless is 23...d5 24.Nxf6! gxf6 (24...Bxf6 25.Qg6+ Kf8 26.Bxf6 gxf6 27.Re6! wins for White.) 25.Qg6+ Kf8 26.Bc1 Qe8 (26...Ra7 represents a transposition to the game.) 27.Bxh6+ Rxh6 28.Qxh6+ Kg8 29.Rd4, and the Black king is doomed.
"
FEN: 2nq3r/r2pbk2/2p2p1p/1p5P/1P4Q1/P5P1/1B3P2/3RR1K1 w - - 0 25. Best move: g4g6. Evaluation: 253. Explain why g4g6 is the best move.,"
White also wins after 24...Bxf6 25.Qg6+ Kf8 26.Bxf6 gxf6 27.Re6.
"
FEN: 2nq1k1r/r3b3/2p2pQp/1p1p3P/1P6/P5P1/5P2/2BRR1K1 w - - 0 27. Best move: d1d4. Evaluation: 446. Explain why d1d4 is the best move.,"
Nor can Black defend after 26...Qe8 27.Bxh6+ Rxh6 28.Qxh6+ Kg8 29.Rd4 f5 30.Qg5+! Kh8 31.Qxf5.
"
FEN: 3q1k1r/r3bn2/2p2pQB/1p1p3P/1P4R1/P5P1/5P2/4R1K1 b - - 0 29. Best move: f7h6. Evaluation: 621. Explain why f7h6 is the best move.,"
A final knock-out punch. The bishop cannot be captured because of immediate mate.
"
FEN: 3qk2r/r3bnB1/2p2pQ1/1p1p3P/1P4R1/P5P1/5P2/4R1K1 b - - 2 30. Best move: e8d7. Evaluation: 601. Explain why e8d7 is the best move.,"
Black Resigned 
After the forced 30...Rg8, then simply 31.h6 decides the issue. A powerful tour de force by Kasparov.
"
