inputs,label
"It is White's turn to move. The board position is:
r . . . . . k .
. N . . . p p .
. . . . . . . .
. . . b . . . .
. . . . . . . .
. . . . . R P .
. . . . . . . K
. . . . . . . .
The best move is f3f2 and the evaluation is -448. Explain why f3f2 is the best move.",Winning a piece.
"It is Black's turn to move. The board position is:
r . b q k . . r
. . p . . p p p
p b n p . n . .
. p . . p . . .
P . . P P . . .
. . P . . N . .
. P B . . P P P
R N B Q . R K .
The best move is c8b7 and the evaluation is 57. Explain why c8b7 is the best move.","White probes the queen-side and wonders how Black will defend Pb5, now that Ra8-b8 isn't available."
"It is White's turn to move. The board position is:
r . . q r . k .
. b . . b p p n
p . . . p . . p
. p . . P . . .
. . p . . B . .
P . N . P . . P
. P . . Q P P .
. B R . . R K .
The best move is a3a4 and the evaluation is 43. Explain why a3a4 is the best move.",Forced. Bad would be (17... Nd5 18. Qc2) (17... Nd7 18. Qg4 Kh8 19. Qh5 when Qf7 and Bh6 are both threatened.)
"It is Black's turn to move. The board position is:
r . b q k b . r
. p . n . p p p
p . . p p n . .
. . . . . . . .
P . . N P . . .
. . N . B . . .
. P P . B P P P
R . . Q K . . R
The best move is b7b6 and the evaluation is 47. Explain why b7b6 is the best move.","Mednis is more a of positional player than a tactical player, so it is not so surprising that he should choose this continuation over the more aggressive 8.g4."
"It is White's turn to move. The board position is:
. . . . . . . k
. . . . . p . p
p . . . . . . .
. . . B p . . .
R N K . P p . .
. . P Q b P . b
. P . . . . . q
. . . . . . r .
The best move is c4b3 and the evaluation is -324. Explain why c4b3 is the best move.","It's odd to see all these Black pieces cramped into the corner, but Black threatens ...Bf1 to win a queen!"
"It is White's turn to move. The board position is:
r . . . . r k .
. . . q . . p p
p . . b p . . .
. b . p . p . n
. p . P . . . .
. . . . . . P P
P P . B P P B K
. N R Q . . R .
The best move is g2f3 and the evaluation is -111. Explain why g2f3 is the best move.",Allowing 20.e4 and beginning of a wonderful combination.
"It is Black's turn to move. The board position is:
b . . . . r k .
. . . . Q . . p
p . . R . . q .
P . p . . . . .
. . . . . p . P
. . P . . . p K
. . P . . . . .
. . . . . . N .
The best move is g6f5 and the evaluation is -1. Explain why g6f5 is the best move.",It was necessary to play 37.Qg5 entering a completely losing ending for White.
"It is Black's turn to move. The board position is:
. . . . r r . .
. . . . . p k .
. . . . . . p .
p p . R p . b .
. . . . P . . .
P B P . . P . .
. P . . . . . .
. K . . . R . .
The best move is b5b4 and the evaluation is 96. Explain why b5b4 is the best move.",One simple move and Black's house of cards begins to crumble. Without queens there are too many weaknesses.
"It is White's turn to move. The board position is:
. . r q k b . r
p p . . . p p .
. . n . . . b .
. N . N n p P p
. . . . . . . P
. . . . . . . .
P P P . . . B .
R . B Q K . . R
The best move is d1e2 and the evaluation is 56. Explain why d1e2 is the best move.","It appears Black doesn't want to part with his dark square bishop, but that endangers his king."
"It is White's turn to move. The board position is:
. . . . . . k .
. . . . . . p .
. . . b p . . p
. . . . . p . .
. . . B b . . .
. . P . . . . P
p . q . . . P .
R . . . Q . K .
The best move is e1f1 and the evaluation is -428. Explain why e1f1 is the best move.",White can't find an adequate mechanism to prevent Black's many threats.
"It is White's turn to move. The board position is:
r n b q k b n r
p p . . . p p p
. . p . . . . .
. . . p p . . .
. . P P . . . .
. . N . . . . .
P P . . P P P P
R . B Q K B N R
The best move is c4d5 and the evaluation is 48. Explain why c4d5 is the best move.","Down at the Mexican Interzonal of 1985, Tal agreed to a Blitz match in which he overwhelmed me with many sharp sacrificial openings. I knew that 4.cxd5 cxd5 5.Nf3 e4 6.Ne5 was currently popular, but I also wanted to create something! At the very least I thought I'd surprise him!"
"It is White's turn to move. The board position is:
r . . q k b . r
. . . . . p . p
p . n p b . . .
. p . N p p . .
. . . . P . . .
N . . B . . . .
P P P . . P P P
R . . Q K . . R
The best move is c2c3 and the evaluation is 27. Explain why c2c3 is the best move.","After this Pe4 is immobilized (at least temporarily) . White doesn't want to move Nd5 away -- not that that would help after ...fxe4 and ...d6-d5. So, White continues quietly and hopes his king will be safer and the many weak spots in Black's position shall offer him opportunities for attack."
"It is White's turn to move. The board position is:
r . . . . . k r
p . . . q p p .
n p . . p . . .
. . p p P . . p
. . . P . . . P
P . n P B R Q N
. . . . . P P .
R . . . K . . .
The best move is e3g5 and the evaluation is 92. Explain why e3g5 is the best move.",Beginning a sharp counterattack.
"It is Black's turn to move. The board position is:
r . . . . k . .
. . . r . p p p
p . . . . n . .
. . . p R . . .
. P . . . . . .
. . . B . P . .
P . . . . . P P
. . R . . . K .
The best move is d5d4 and the evaluation is 110. Explain why d5d4 is the best move.",Threatening Bd3xa6 or Rc1-c6.
"It is Black's turn to move. The board position is:
. . . . . r . k
. p p q . . p .
p . . p . . . p
. . . P p r . .
. . P . Q . . .
. P . . R P P .
. . P . . . . P
. . . . . R K .
The best move is a6a5 and the evaluation is -23. Explain why a6a5 is the best move.",it seems that White has overcome his problems of middlegame and has consolidated the position. But Rubinstein's next two moves create fresh problems for White. 29. Rxe4 and 30 Qe3 might be equal.
"It is Black's turn to move. The board position is:
r . . q . . . r
n . . p b k p .
. . p . . p . p
. p . . . . . P
. P . . N . Q .
P . . . . . P .
. B . . . P . .
R . . . R . K .
The best move is a7c8 and the evaluation is 333. Explain why a7c8 is the best move.",Now there are all manner of tactics brewing against the f6 and g7 points in the Black position.
"It is Black's turn to move. The board position is:
. . r . k . . r
p p . . . p p .
. . n q . . b .
. . . N n p P p
. . . . . B . P
. . . . . . . .
P P P . Q . B .
R . . . K . . R
The best move is e8g8 and the evaluation is 43. Explain why e8g8 is the best move.",White blocks Pf5 to keep Bg6 locked in!
"It is White's turn to move. The board position is:
r . b . k . . r
. p q p . p p p
p . . . p n . .
. . b . . . . .
. . . B P . . .
. . N B . . . .
P P P . . P P P
R . . Q . R K .
The best move is d4c5 and the evaluation is 29. Explain why d4c5 is the best move.","This idea has been played often enough for Black to know there's a risk of weakening d6 and for White to know that a cautious follow-up allows Black easy development. Black is again trying to emphasize that the dark squares are in his control, but f6 is again a little weak."
"It is White's turn to move. The board position is:
r . . . . q k .
p . . . . p p r
n p . . p B . .
. . p p P . Q p
. . . n . N . P
P . . P . . R .
. . . . . P P .
R . . . K . . .
The best move is f6e7 and the evaluation is 20. Explain why f6e7 is the best move.",The Black knight reenters the fray. Now White's attack is difficult.
"It is White's turn to move. The board position is:
r n b q . k . r
p p p . . p p .
. . . . p . . p
. . . p P . . .
. b . P n . Q .
. . N . B . . .
P P P . . P P P
R . . . K B N R
The best move is a2a3 and the evaluation is 38. Explain why a2a3 is the best move.","This alternative to 7...g6 seems to be more reliable for Black, despite the unavailability of castling."
"It is White's turn to move. The board position is:
r . . . . . k .
p . . . . . P .
. p . . R B q r
. . p p . R Q p
. . . n . . . P
P . . P . . . .
. . . . . P P .
. . . . . K . .
The best move is g5g6 and the evaluation is 333. Explain why g5g6 is the best move.",Now the position is transferred prosaically to a won ending for White.
"It is Black's turn to move. The board position is:
r . b q k . . r
p p . . . p p .
. . . . p . . p
. . . n . . . .
. . . N . . . P
Q . . . . . . .
P P P . . P P .
R . . . K B . R
The best move is d8e7 and the evaluation is 37. Explain why d8e7 is the best move.",Black already has some difficulties.
"It is White's turn to move. The board position is:
. . r . r . k .
. b q n b p p .
p p . p . n . p
. . . . p . . .
P . . . P . . .
. N N . B P . .
. P P Q B . P P
. . R R . . . K
The best move is e2f1 and the evaluation is 84. Explain why e2f1 is the best move.","I considered 15...Rfd8, but if he plays his knight to d5 my play will be on the e-line."
"It is Black's turn to move. The board position is:
. . . . . k . .
p p . b . B . Q
. . n p . q . p
. . . . . . . .
. . . P . N . .
P . P . . . P .
. . . . . P . .
. . . . . . K .
The best move is c6e7 and the evaluation is 209. Explain why c6e7 is the best move.",This is the surprising impossible move which can in fact be played.
"It is White's turn to move. The board position is:
r . . b . k . .
p . . q . p . .
. . N N b . n .
. P . p P . . r
. . . . . B p p
. . p . . . . .
P . . Q . P P P
R . . . R . K .
The best move is d2d4 and the evaluation is 58. Explain why d2d4 is the best move.","chasing White's queen away from control of d4, so ...Bb6 can't be met by Nc6-d4"
"It is Black's turn to move. The board position is:
r . b q r . k .
p p . . . p b p
n . . p . n p .
. . p P . . . .
. . . . P B . .
. . N . . N . .
P P Q . B P P P
R . . . . R K .
The best move is f6e4 and the evaluation is 60. Explain why f6e4 is the best move.",Better was 11. Re1 Nc7 12. Bf4 Rb8 13. a4 a6 14. a5 b5 15. axb5 Rb6 with chances for both the sides.
"It is Black's turn to move. The board position is:
r . b . k . . r
. . . q b p p p
p . . . . n . .
. . . p . . . .
Q . . . . . . .
. . N B . . . .
P P . . . P P P
R . B . R . K .
The best move is d7a4 and the evaluation is 71. Explain why d7a4 is the best move.","Very simple - pinning the bishop on e7. If 13.Bb5 axb5 14.Qxa8 0-0, when Black can continue with Bc8-b7, and d5-d4, when Black is better developed with a strong passed d-pawn, and the White queen is out of play."
"It is Black's turn to move. The board position is:
r . . q k b . r
. . . . n p . p
p . . p . . . .
. p . P p p . .
. . . . . . . .
N . P B . . . .
P P . . . P P P
R . . Q . R K .
The best move is f8g7 and the evaluation is 20. Explain why f8g7 is the best move.",It seems to me Pd5 needs more support and White should play on the queen-side as part of that.
"It is White's turn to move. The board position is:
r n b q k b . r
p p . . . p p .
. . . p p . . p
. . p P P . . .
. n P . . . . .
. . . . . . . .
P P . . . P P P
R N B Q K B N R
The best move is a2a3 and the evaluation is 100. Explain why a2a3 is the best move.",Black meets White's pawns and forces exchanges before White can bring other pieces up to support them.
"It is White's turn to move. The board position is:
r . b q k b n r
p . . . . p . p
. . p p . . . .
. . p . p . p .
. . . . P . . .
. . P . . N . .
P P . P . P P P
R N B Q . R K .
The best move is d2d4 and the evaluation is 71. Explain why d2d4 is the best move.","This could be the move of a complete amateur or of a great player such as Ivanchuk, but it seems out of place and unusual, for Polgar. This may be a small indication of an internal struggle wherein she tries to expand her approach, hopefully for the better. In this case I think it just fails."
"It is White's turn to move. The board position is:
. . . . . r k .
. b q . . . . p
p . . . . . . .
P . p p . . p .
. . n . n p . .
. . P . . B . .
. . P . N . P P
. R Q . . R K .
The best move is c1d1 and the evaluation is -232. Explain why c1d1 is the best move.",Guarding the b6 entry point and eliminating White's only possible counterplay. Black's powerfully posted knights are vastly superior to White's passive rooks.
"It is Black's turn to move. The board position is:
. . . . . k . .
p . . r . . p p
. . p . . n . .
. . N . b p . b
. . P . p . . .
P . . . B . . P
. P . . . P P .
R . . . R . K .
The best move is d7d6 and the evaluation is 229. Explain why d7d6 is the best move.","White seems satisfied to repeat the position. Black may think he has the better of it, so he tries for more. I don't think that's a wise decision."
"It is White's turn to move. The board position is:
. . . . . . . .
. . . . . . . .
. . . . p n . .
. . . . . k p .
N . . . . . . p
. . . . . K P .
. . . . . P . .
. . B . . . . .
The best move is f3g2 and the evaluation is 247. Explain why f3g2 is the best move.","Black naturally wants to exchange off all the pawns, but he won't be able to."
"It is Black's turn to move. The board position is:
. . . . . . . .
. . . . . . p k
. n . . p . . p
. . . . . . . .
p . . . . . . .
N . B . . . P .
. . . . . P . .
. . . . . . K .
The best move is g7g5 and the evaluation is 106. Explain why g7g5 is the best move.",This isn't the simplest ending to win. Pa4 restrains a minor piece and Pa4 isn't so easily gotten rid of.
"It is Black's turn to move. The board position is:
r n b q k b n r
p p . . . p p p
. . . . . . . .
. B . . p . . .
. . . P p . . .
. . N . . . . .
P P . . . P P P
R . B Q K . N R
The best move is c8d7 and the evaluation is 17. Explain why c8d7 is the best move.",6.dxe5 Qxd1+ is duck soup for Tal.
"It is White's turn to move. The board position is:
r . b q k . . r
p p p . b p p p
. . n . . n . .
. . . p . . . .
. . P P . . . .
. . . B . N . .
P P . . . P P P
R N B Q . R K .
The best move is c4c5 and the evaluation is 42. Explain why c4c5 is the best move.",Essentially Black says White will have an isolated queen's pawn and Black will develop easily and then attempt to exploit his pawn structure advantages  (White's disadvantages) .
"It is White's turn to move. The board position is:
r n b q k . . r
p p . . b p p p
. . p . p n . .
. . . p . . . .
. . P P . B . .
. . N . . N . .
P P . . P P P P
R . . Q K B . R
The best move is e2e3 and the evaluation is 53. Explain why e2e3 is the best move.",A passive move. 5...c5 was better.
"It is Black's turn to move. The board position is:
. . r . . r k .
. . . . q p p .
p n . R p . . p
. p . . . . . .
. P . . . . . .
P Q . . P P . .
. . . . . . P P
. . . R . B K .
The best move is b6d5 and the evaluation is -92. Explain why b6d5 is the best move.","After 27.Rc3 Nd5! 28.Rxc8 Rxc8, Black has a meaningful initiative. If 27.e4 Rc6, with the idea of Rf8-c8 and Qe7-c7 with the initiative."
"It is Black's turn to move. The board position is:
. . . . b . . .
p . q . k . . .
. p . r p p . .
. . p . . . p .
. . P . . . . P
. . . . Q . P .
P P B . . . . .
. K . . R . . .
The best move is g5h4 and the evaluation is -1. Explain why g5h4 is the best move.","Kamsky offered a draw here, in mutual time pressure. But I refused the offer, because black's chances are better: white has already lost the two bishops' advantage, and he still has not regained his pawn..."
"It is Black's turn to move. The board position is:
r . . r . . . .
p . q b k p . .
. p . . p n . p
. . p . . . p .
. . . B . . . .
Q . P B . . P .
P P . . . P . P
. . K R R . . .
The best move is f6g4 and the evaluation is 18. Explain why f6g4 is the best move.","Now if 21.f4, black has the strong response: 21...Ng4 22.Bd4 gxf4 23.h3 Ne3."
"It is Black's turn to move. The board position is:
. . r . . r k .
p p . . . p p .
. . n . . . b .
. . q N n p P p
. . . . . B . P
. . . . . . . R
P P P . Q . B .
. . K R . . . .
The best move is e5c4 and the evaluation is -54. Explain why e5c4 is the best move.",With Bg6 stuck it only makes sense to bring all the pieces into play.
"It is White's turn to move. The board position is:
. . . . r r k .
p . . . . . p .
. . p . q . . .
. . b p P p . .
. . . . b Q . .
. P N . . . P .
P B . . . P . .
. . R . R . K .
The best move is c3e2 and the evaluation is -71. Explain why c3e2 is the best move.","Who is better? Black's ideas include ...Qg6-h5; and ...Be7 followed by ...g5 with a strong attack. But white has serious
pressure along the c-file. True, 25.Nxd5? doesn't work because of 25...Qxd5 26.Red1 Qf7 27.Rxc5 Qh5! winning."
"It is Black's turn to move. The board position is:
r . b q k . . r
p p . . . p p .
. . . . p n . p
. . . . . . . .
. Q . N . . . P
. . . . . . . .
P P P . . P P .
R . . . K B . R
The best move is d8e7 and the evaluation is 11. Explain why d8e7 is the best move.","White takes control of the queen-side dark squares and Qd8 now appears exposed on the open d-file (after O-O-O) , so ...Qd8-e7 seems sensible."
"It is Black's turn to move. The board position is:
. . r . r . k .
. b q n b p p .
p p . p . n . p
. . . . p . . .
P . . . P . . .
. N N . B P . .
. P P . B . P P
. . R R Q . . K
The best move is c7b8 and the evaluation is 81. Explain why c7b8 is the best move.",A very useful move preparing pressure on the a-pawn combined with doubling on the d-file.
"It is Black's turn to move. The board position is:
. k r . . . r .
p p . b . . . .
q . . . p . . .
. . . P P n n .
. . P B . N . .
P . . . . . . .
. . . . Q P P P
. . R R . . . K
The best move is d7a4 and the evaluation is -174. Explain why d7a4 is the best move.","Black has consolidated his forces and is now on top. He has the option of pursuing a number of promising continuations, e.g., 27...exd5 28.Nxd5 Nxd4 29.Rxd4 Ne6; 27...Nxd4; 27...Ba4 28.Rd2 Bb3; 27...Qa4 with sufficient counterplay in all lines."
"It is Black's turn to move. The board position is:
. . . . . . . .
. . . . . . p k
. n . . p . . p
p . . . . . . .
. r . . . . . .
. . B . . . P .
. . . N . P . .
. R . . . . K .
The best move is b4b1 and the evaluation is 105. Explain why b4b1 is the best move.","Rb4 is pinned on the file, so a trade is unavoidable. This makes it much simpler for White to win Pa5 and the resulting endgame."
"It is Black's turn to move. The board position is:
. . . r . . k .
p . . . . p . .
. p . . . q p .
. . p . . . . .
P . . . . . B p
. P . . . . P .
. . . . Q b . P
. . . . . R . K
The best move is d8d2 and the evaluation is -370. Explain why d8d2 is the best move.","(31. Qf3, Qf3+ and 32...hxg is hopeless for White.)"
"It is White's turn to move. The board position is:
r . b q k b . r
p p . . p p p p
. n n . . . . .
. . p p P . . .
. . . . . . . .
. B P . . N . .
P P . P . P P P
R N B Q K . . R
The best move is e5d6 and the evaluation is 30. Explain why e5d6 is the best move.","This converts the position quite dramatically (presuming White doesn't capture it en passant) to something akin to a French Defense or Caro-Kann Defense pawn structure. Black has the freedom to move ...Bc8-f5 or ...Bc8-g4 rather than locking it in behind the pawns with ...e7-e6. The location of Bb3 is also odd, but not necessarily bad. That bishop could move to c2 and be on the desirable b1-h7 diagonal. One curious development is that Nb6 is a little awkward. So, despite some similarities to other openings, this one has it's own particulars and must not be confused with those other openings."
"It is White's turn to move. The board position is:
. r . . r . k .
. b q . b p p p
p p . . p . . .
. . . p P . . .
P . n N n P . .
. . N . . B . .
. P P . . Q P P
R . B . . R . K
The best move is c3e4 and the evaluation is 46. Explain why c3e4 is the best move.","aggressive, but best (?) , I don't know. Retreating to d7 might be perfectly good. From there it could go to f8 to defend Ph7 or it could to to c5 to threaten Pa4. And, from d7 it keeps an eye on Pe5."
"It is Black's turn to move. The board position is:
. . . . . . . .
. . . . . k p .
. R . . . . . p
. . . . . . . P
. P b . . . . .
. . . . . P . .
. r . . . . P .
. . . . . . K .
The best move is f7g8 and the evaluation is -196. Explain why f7g8 is the best move.","This is probably a mistake. It's unlikely White would want to advance g2-g4, so Ph5 appears to be over-extended."
"It is White's turn to move. The board position is:
r . b . k . . r
. . q p . p p p
p . p . p n . .
. . . . . . B .
. . . . P b . .
. . N B . . . .
P P P . . P P P
R . . Q . R . K
The best move is g5f4 and the evaluation is 28. Explain why g5f4 is the best move.","Black fights on the dark squares and encourages the trade of Bg5 for either Black piece. In this case I'd think trading it for Bf4 should be better, because White can gain even more from weakening square d6, though he couldn't then play f2-f4 as easy as he'd like."
"It is White's turn to move. The board position is:
r . b . . . k .
. . q . . p . p
. . . . p . p .
p . . . P . . .
N . P . . P . .
. . . r . . P .
P . . . . Q . P
. . . . R R K .
The best move is a4c5 and the evaluation is 47. Explain why a4c5 is the best move.","The logjam is broken and Pc4 is a sitting duck. Black's Bc8 will come into play in a huge way, with the a8-h1 diagonal completely weak."
"It is White's turn to move. The board position is:
r . . . . . k .
. N . . . p p .
. . . . b . . .
. . . . . . . .
. . R . . . . .
. . . . r N P .
. . . R n n B K
. . . . . . . .
The best move is c4c2 and the evaluation is -232. Explain why c4c2 is the best move.",Now Black Knight will occupy 'g4'.
"It is Black's turn to move. The board position is:
r . . . . . k .
. . . q . . p p
p . . b p . . .
. b . p . . Q .
. p . P p . . .
. . . . . . P P
P P . B . r B K
. N R . . . R .
The best move is a8f8 and the evaluation is -331. Explain why a8f8 is the best move.","If Qd1, Raf8 with the threats of...R8f3,...Bxg3+,...Qe7 - h4."
"It is Black's turn to move. The board position is:
r . . . . . k .
p b . . . . b .
. p . . . p . .
. . p q . P p p
. . . . . . . .
. . P . B . Q .
P P . . . N P P
. . . R . . K .
The best move is d5f5 and the evaluation is -188. Explain why d5f5 is the best move.","There was no way to defend the overextended f-pawn. If 27.h4, Black simply increases his grip with 27...g4."
"It is White's turn to move. The board position is:
r . b r . . k .
p p . . . p b p
. . . . . . p .
. . p . . . . .
. . q N . P . .
. . P . B . . .
P P . . . Q P P
R . . . . R K .
The best move is d4f3 and the evaluation is -61. Explain why d4f3 is the best move.","Over the next few moves, we will see the Steinitzian strategy for play with the bishop pair at work. He starts by driving the White knight into passivity by using judicious pawn advances to remove potential advanced knight outposts from the picture. These same pawn advances will gain a space advantage for Black that will last into the endgame. Black's bishops will become more powerful, and Black's king will be easier to activate in the endgame, so Black's advantage is a lasting one, and a difficult one for White to neutralize."
"It is White's turn to move. The board position is:
r . . . . . k .
p p . b p p b p
q . . p . . p .
B . . P . . . .
. . . . . . n .
. . . . . . P .
P P . Q P P B P
R . N . . . K .
The best move is c1d3 and the evaluation is -59. Explain why c1d3 is the best move.","and Black threatens to maneuver the knight via e5 toward the queen-side where he might play with an extra minor piece, while Bg2 is useless! There is also the possibility, intended or not, of ...Bh6 to deflect Qd2 away from the defense of Ba5."
"It is Black's turn to move. The board position is:
r . . q k b n r
p p . b . p p p
. . n . . . . .
. B . Q P . . .
. . . . p . . .
. . N . . . . .
P P . . . P P P
R . B . K . N R
The best move is f8b4 and the evaluation is 29. Explain why f8b4 is the best move.","After some serious contemplation I noticed 8.Bf4 Nxe5? 9.Bxe5 Bxb5 10.Qxd8+ Rxd8 11.Nxb5 wins, but 8...Bb4 is OK for Black."
"It is Black's turn to move. The board position is:
r . . . . . . r
k . . . . p p .
p q . . p . . p
. N . n . . . .
. . . . . . . P
. R . . . . . .
P P P . Q P P .
. . K R . . . .
The best move is a6b5 and the evaluation is 439. Explain why a6b5 is the best move.","This move might seem a little speculative, but on principle Ka7 will never be safe and White's pieces have more open lines to go get him. Black won't have time to develop his rooks, so their value is almost nil, until you get a simplified endgame."
"It is White's turn to move. The board position is:
r . b . . r . k
. . . . . p . p
p . . . . . . .
. . b B p . q .
R N . . P p . .
. . P . . P . .
. P . . . R P P
. . . Q . . K .
The best move is d1e1 and the evaluation is -126. Explain why d1e1 is the best move.","offering Ra8 is just the sort of audacious thing Kasparov is noted for. But, don't think it's just a bluff. He's calculated variations to determine if his compensation is sufficient."
"It is Black's turn to move. The board position is:
. . N . . . k .
p . . . . . p .
. . . . p . . p
. . . . . . . n
. r . . . . . .
. . . . . . . .
. B . . . P P .
. R . . . . K .
The best move is b4b7 and the evaluation is 0. Explain why b4b7 is the best move.",though now the pin is reversed and Rb1 is quite awkward. If Black could get Pa7 to a3 or Nh5 to d2 then he might even win.
"It is White's turn to move. The board position is:
r . . q k b . r
n . p p . p p .
. . . . p . b p
. p . . . . . .
. P . P . . . P
P . . . P . P .
. B . N . P . .
R . . Q K B . R
The best move is h4h5 and the evaluation is 191. Explain why h4h5 is the best move.",Better was 13...h5.
"It is White's turn to move. The board position is:
r n b q k b . r
p p . p p p p p
. . . . . n . .
. . p . . . . .
. . P P . . . .
. . . . . . . .
P P . . P P P P
R N B Q K B N R
The best move is d4d5 and the evaluation is 81. Explain why d4d5 is the best move.",Topalov is an excellent tactician and prefers the unbalanced fight this could produce.
"It is White's turn to move. The board position is:
r . . . . . . .
q . . . . p k p
. . . p . . n .
. . . P . Q . .
. p . . P p . .
. . . . . . . P
P . R . . . P .
. . . B . . . K
The best move is e4e5 and the evaluation is -188. Explain why e4e5 is the best move.","White's position looks fine except for Bd1, it's blocked by pawns on light squares. So, while it may appear equal there are chances for Black to invade on dark squares and catch White wrong-footed."
"It is White's turn to move. The board position is:
r . . . . r k .
. p . . . p p p
p . p . . . . .
. . . N p . . .
. . P . P . n .
. . . . . . . .
P P . . . P P P
R . . . R . K .
The best move is d5e7 and the evaluation is 108. Explain why d5e7 is the best move.","After this natural move Black's d6 is seriously weakened. Better was 16... Nf6, after which 17 Nxf6 gives White only a slight advantage."
"It is Black's turn to move. The board position is:
r . . . r n k .
. b q . b p p .
p . . . p . . B
. p . . P . . Q
. . p . . . . .
P . N . P . . P
. P . . . P P .
. B . R . R K .
The best move is g7h6 and the evaluation is -71. Explain why g7h6 is the best move.",This sacrifice is based on positional considerations. White obtains only two pawns for the piece but Black's king is exposed and white enjoys a long term initiative.
"It is White's turn to move. The board position is:
. . . . k . . r
. b q n . . p p
p p . . p . . .
. . b p . p . .
P . . B n P . .
. . P . . B N .
. . P . . . P P
R . . . Q R K .
The best move is a1d1 and the evaluation is 39. Explain why a1d1 is the best move.",Of course not 16...Qxf4?? 17.Bxe4 losing a piece for Black.
"It is Black's turn to move. The board position is:
r . b . . r k .
. . . . q p b p
p . . p . . . .
. p . . p p . .
. . . . P . . .
. . P B . . . .
P P N . . P P P
R . . Q . R K .
The best move is f5f4 and the evaluation is 20. Explain why f5f4 is the best move.","Seeing that the piece needed to be improved and that d5 would be a good spot for it, she moves it now."
"It is Black's turn to move. The board position is:
r . b . k . . r
. . . p . p p p
p . . . p n . .
. p q . . . . .
. . . . P . . .
. . N B . . . .
P P P . . P P P
R . . . Q R . K
The best move is c8b7 and the evaluation is 3. Explain why c8b7 is the best move.","White prepares e4-e5, Nc3-e4-d6+"
